case_id,true_state,account_age,prior_purchases,refund_history,device_age,session_type,hour,amount,product_type,amount_usd
C001,H1_legit,old,few,no,known,normal,day,small,consumable,4.99
C002,H1_legit,mid,few,no,known,direct,day,small,subscription,4.99
C003,H1_legit,old,few,no,known,normal,day,small,consumable,4.99
C004,H1_legit,old,many,no,known,normal,day,small,consumable,4.99
C005,H1_legit,new,few,no,known,normal,day,small,consumable,4.99
C006,H1_legit,old,none,no,new,normal,day,small,consumable,4.99
C007,H1_legit,new,few,no,known,normal,day,small,non_consumable,4.99
C008,H1_legit,old,many,no,known,normal,day,large,consumable,49.99
C009,H4_friendly,old,many,no,new,normal,day,large,consumable,49.99
C010,H1_legit,mid,none,no,known,normal,day,small,consumable,4.99
C011,H1_legit,old,few,no,known,normal,day,medium,consumable,19.99
C012,H1_legit,old,few,no,known,normal,day,small,consumable,4.99
C013,H1_legit,old,few,no,known,normal,day,small,subscription,4.99
C014,H1_legit,old,many,no,known,direct,day,medium,consumable,19.99
C015,H1_legit,mid,few,no,known,normal,day,medium,consumable,19.99
C016,H1_legit,old,few,no,known,normal,day,medium,non_consumable,19.99
C017,H1_legit,mid,none,no,new,normal,day,medium,non_consumable,19.99
C018,H1_legit,old,many,no,known,normal,day,medium,consumable,19.99
C019,H1_legit,old,few,yes,known,normal,day,medium,consumable,19.99
C020,H1_legit,mid,many,yes,known,normal,day,medium,non_consumable,19.99
C021,H1_legit,mid,none,no,known,normal,day,medium,non_consumable,19.99
C022,H1_legit,old,many,no,known,normal,day,small,non_consumable,4.99
C023,H1_legit,old,none,no,known,normal,day,medium,non_consumable,19.99
C024,H1_legit,new,none,no,known,normal,day,large,consumable,49.99
C025,H1_legit,old,few,no,known,direct,day,small,consumable,4.99
C026,H1_legit,old,many,no,known,normal,day,large,consumable,49.99
C027,H1_legit,old,few,no,known,normal,day,small,consumable,4.99
C028,H1_legit,old,few,no,known,normal,day,medium,non_consumable,19.99
C029,H1_legit,old,many,no,known,normal,day,medium,consumable,19.99
C030,H1_legit,old,few,no,known,normal,day,medium,consumable,19.99
C031,H1_legit,mid,many,no,known,normal,day,medium,non_consumable,19.99
C032,H1_legit,mid,many,no,known,normal,day,medium,consumable,19.99
C033,H1_legit,mid,many,no,known,normal,night,small,consumable,4.99
C034,H5_refund_abuse,new,few,no,known,direct,day,medium,consumable,19.99
C035,H1_legit,old,many,no,known,normal,day,small,subscription,4.99
C036,H1_legit,old,none,no,known,normal,day,medium,consumable,19.99
C037,H1_legit,mid,few,yes,known,normal,night,small,subscription,4.99
C038,H1_legit,old,few,no,known,normal,night,medium,consumable,19.99
C039,H1_legit,old,none,no,known,direct,day,large,consumable,49.99
C040,H1_legit,new,none,no,known,direct,day,small,non_consumable,4.99
C041,H1_legit,new,many,no,known,direct,day,large,subscription,49.99
C042,H1_legit,old,few,no,known,normal,day,medium,consumable,19.99
C043,H1_legit,old,none,no,known,normal,day,medium,consumable,19.99
C044,H1_legit,old,many,no,new,normal,day,small,subscription,4.99
C045,H3_ato,mid,many,no,new,direct,day,medium,consumable,19.99
C046,H2_stolen_card,new,none,no,known,direct,day,large,consumable,49.99
C047,H1_legit,new,few,yes,known,normal,day,small,non_consumable,4.99
C048,H1_legit,old,few,no,known,normal,day,medium,consumable,19.99
C049,H1_legit,old,few,no,known,normal,day,small,consumable,4.99
C050,H4_friendly,old,none,no,new,normal,night,small,consumable,4.99
