case_id,true_state,account_age,prior_purchases,refund_history,device_age,session_type,hour,amount,product_type,amount_usd,P_H1_legit,P_H2_stolen_card,P_H3_ato,P_H4_friendly,P_H5_refund_abuse,P_hostile,P_fraud_any,account_risk,action_B0,action_P1,action_P2,action_P3,cost_B0,cost_P1,cost_P2,cost_P3,consent,consumed_pct,cr_reason,refund_preference,refund_request
C001,H1_legit,old,few,no,known,normal,day,small,consumable,4.99,0.9905909538303602,5.169482224617194e-06,0.00029241515613996253,0.00882295990128513,0.00028850162999011935,0.0002975846383645797,0.009409046169639829,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C002,H1_legit,mid,few,no,known,direct,day,small,subscription,4.99,0.9715396858307752,0.0004609617211930007,0.0015520596673165004,0.02549625596646453,0.0009510368142508222,0.002013021388509501,0.02846031416922485,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C003,H1_legit,old,few,no,known,normal,day,small,consumable,4.99,0.9905909538303602,5.169482224617194e-06,0.00029241515613996253,0.00882295990128513,0.00028850162999011935,0.0002975846383645797,0.009409046169639829,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C004,H1_legit,old,many,no,known,normal,day,small,consumable,4.99,0.9861331314596062,2.5731093517837284e-06,0.0005458110746207907,0.013174882693841207,0.00014360166257993017,0.0005483841839725744,0.013866868540393712,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C005,H1_legit,new,few,no,known,normal,day,small,consumable,4.99,0.9916933044441302,0.000120755481794006,6.970013379163405e-05,0.004907099043393567,0.003209140896890604,0.00019045561558564004,0.008306695555869811,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C006,H1_legit,old,none,no,new,normal,day,small,consumable,4.99,0.9248304238847082,0.00236295910772475,0.004422650736383223,0.06672169565284307,0.0016622706183407273,0.0067856098441079725,0.07516957611529178,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C007,H1_legit,new,few,no,known,normal,day,small,non_consumable,4.99,0.9948167173698366,7.614250933130298e-05,4.394950033552841e-05,0.004512341462080633,0.0005508491584159335,0.00012009200966683138,0.005183282630163398,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C008,H1_legit,old,many,no,known,normal,day,large,consumable,49.99,0.9668681700189717,3.0274097289912334e-05,0.006421778213011706,0.025834999989411987,0.0008447776813146831,0.006452052310301618,0.03313182998102829,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C009,H4_friendly,old,many,no,new,normal,day,large,consumable,49.99,0.6736022379883226,0.001075666483099978,0.16106236110587907,0.1619896374276057,0.0022700969950927453,0.16213802758897905,0.3263977620116775,False,approve,question,question,question,31.994,35.9935,35.9935,35.9935,,,,,False
C010,H1_legit,mid,none,no,known,normal,day,small,consumable,4.99,0.9925657033678575,0.00014207417475295867,6.726996910651451e-05,0.005683209768954218,0.0015417427193287574,0.0002093441438594732,0.007434296632142449,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C011,H1_legit,old,few,no,known,normal,day,medium,consumable,19.99,0.986627678378333,1.5446398614797658e-05,0.0008737356792208776,0.01171687992259593,0.0007662596212355125,0.0008891820778356753,0.013372321621667118,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C012,H1_legit,old,few,no,known,normal,day,small,consumable,4.99,0.9905909538303602,5.169482224617194e-06,0.00029241515613996253,0.00882295990128513,0.00028850162999011935,0.0002975846383645797,0.009409046169639829,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C013,H1_legit,old,few,no,known,normal,day,small,subscription,4.99,0.9937709283844403,2.0373874672401225e-06,0.00011524615976307762,0.006085257189234322,2.653087909493165e-05,0.00011728354723031774,0.006229071615559571,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C014,H1_legit,old,many,no,known,direct,day,medium,consumable,19.99,0.8645888268985855,0.0005481994373451177,0.038761576377937604,0.09240826423454357,0.0036931330515881607,0.03930977581528272,0.13541117310141446,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,True,0.02,UNSATISFIED_WITH_PURCHASE,"PREFER_GRANT (near-zero consumption, DC-9.1)",True
C015,H1_legit,mid,few,no,known,normal,day,medium,consumable,19.99,0.9885642825916823,4.421919317371989e-05,0.0004466585169062616,0.008385627446422997,0.0025592122518149083,0.0004908777100799815,0.011435717408317888,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C016,H1_legit,old,few,no,known,normal,day,medium,non_consumable,19.99,0.9885472576078829,9.728054959462077e-06,0.0005502738158887639,0.010761369888170487,0.0001313706330984965,0.000560001870848226,0.011452742392117209,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C017,H1_legit,mid,none,no,new,normal,day,medium,non_consumable,19.99,0.9224377221353515,0.012698107497717832,0.00424401988560088,0.0580983985391994,0.002521751942130511,0.01694212738331871,0.07756227786464863,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C018,H1_legit,old,many,no,known,normal,day,medium,consumable,19.99,0.9805169928668782,7.675365617807465e-06,0.0016281078583227952,0.01746646701575805,0.00038075689342309955,0.0016357832239406026,0.019483007133121753,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C019,H1_legit,old,few,yes,known,normal,day,medium,consumable,19.99,0.9408629125330528,1.4729916773419582e-05,0.0008332074134459565,0.037463725985798606,0.020825424150929226,0.000847937330219376,0.05913708746694721,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C020,H1_legit,mid,many,yes,known,normal,day,medium,non_consumable,19.99,0.9560536583883731,1.3440418989177851e-05,0.0005091067798931004,0.03738880191534929,0.006034992497395203,0.0005225471988822782,0.04394634161162677,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C021,H1_legit,mid,none,no,known,normal,day,medium,non_consumable,19.99,0.9919605049145522,0.0002677479470362108,0.00012677459613456946,0.006941909990442422,0.0007030625518347966,0.00039452254317078023,0.008039495085448,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C022,H1_legit,old,many,no,known,normal,day,small,non_consumable,4.99,0.9875360471583943,1.6196839802502445e-06,0.00034356932914399115,0.012094157031476222,2.4606797005218067e-05,0.00034518901312424136,0.012463952841605681,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C023,H1_legit,old,none,no,known,normal,day,medium,non_consumable,19.99,0.9897510957603717,9.350305574547798e-05,0.0002479247690221006,0.009697027431977197,0.0002104489828836021,0.0003414278247675786,0.01024890423962838,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C024,H1_legit,new,none,no,known,normal,day,large,consumable,49.99,0.9484249739192151,0.013304082654368662,0.0003599589462762084,0.00844739746704738,0.0294635870130926,0.01366404160064487,0.05157502608078485,True,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C025,H1_legit,old,few,no,known,direct,day,small,consumable,4.99,0.9389343817274411,0.00039689255266256565,0.0074834959424591495,0.05017720200988935,0.003008027767547866,0.007880388495121715,0.061065618272558936,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C026,H1_legit,old,many,no,known,normal,day,large,consumable,49.99,0.9668681700189717,3.0274097289912334e-05,0.006421778213011706,0.025834999989411987,0.0008447776813146831,0.006452052310301618,0.03313182998102829,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C027,H1_legit,old,few,no,known,normal,day,small,consumable,4.99,0.9905909538303602,5.169482224617194e-06,0.00029241515613996253,0.00882295990128513,0.00028850162999011935,0.0002975846383645797,0.009409046169639829,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C028,H1_legit,old,few,no,known,normal,day,medium,non_consumable,19.99,0.9885472576078829,9.728054959462077e-06,0.0005502738158887639,0.010761369888170487,0.0001313706330984965,0.000560001870848226,0.011452742392117209,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C029,H1_legit,old,many,no,known,normal,day,medium,consumable,19.99,0.9805169928668782,7.675365617807465e-06,0.0016281078583227952,0.01746646701575805,0.00038075689342309955,0.0016357832239406026,0.019483007133121753,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C030,H1_legit,old,few,no,known,normal,day,medium,consumable,19.99,0.986627678378333,1.5446398614797658e-05,0.0008737356792208776,0.01171687992259593,0.0007662596212355125,0.0008891820778356753,0.013372321621667118,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C031,H1_legit,mid,many,no,known,normal,day,medium,non_consumable,19.99,0.9877209747365386,1.3885605298803678e-05,0.0005259698976819574,0.01152040171680649,0.00021876804367416627,0.000539855502980761,0.012279025263461418,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
C032,H1_legit,mid,many,no,known,normal,day,medium,consumable,19.99,0.9853305025673422,2.2037271930742127e-05,0.000834745148891747,0.012537294718657062,0.001275420293178262,0.0008567824208224892,0.014669497432657812,False,approve,approve,approve,approve,0.0,0.0,0.0,0.0,,,,,False
