case,seed,post_r,post_c,player_r,player_c,start_distance
0,7279928,11,3,6,4,8
1,972299651,2,3,7,6,8
2,1053741944,12,20,9,21,4
3,835894097,2,20,4,12,10
4,11117006,8,12,9,18,9
5,345867229,11,3,1,11,20
6,508435861,2,3,9,12,16
7,968937461,12,20,3,21,20
8,413510390,2,20,9,17,14
9,469091286,8,12,5,4,13
10,590469918,11,3,9,22,23
11,724177023,2,3,9,17,23
12,962642113,12,20,1,4,29
13,222833612,2,20,12,9,31
14,34391319,8,12,1,22,23
15,264678252,11,3,4,12,34
16,471597988,2,3,3,22,36
17,882358837,2,20,7,2,37
18,379482597,11,3,10,6,4
19,60404721,2,3,4,5,4
20,808688294,12,20,6,16,10
21,886550942,2,20,5,13,10
22,96027455,8,12,9,20,11
23,31018174,11,3,4,7,13
24,776584907,2,3,9,10,14
25,629031448,12,20,3,10,21
26,489548972,2,20,6,22,16
27,223667842,8,12,3,4,13
28,593193608,11,3,2,15,23
29,196097757,2,3,8,17,24
30,534614508,12,20,6,5,27
31,154516399,2,20,2,13,31
32,863174094,8,12,12,2,22
33,730839672,11,3,1,17,36
34,248056685,2,3,1,22,38
35,893572920,2,20,10,4,38
36,286901655,11,3,7,1,6
37,760535626,2,3,4,5,4
38,618166035,12,20,12,11,9
39,483723052,2,20,6,14,10
