tick,action,target_r,target_c,agent_r,agent_c,reason,chosen_cost,runner_up,margin,entropy,peak_r,peak_c,peak_belief,peak_evidence_ratio,case,agent,policy,seed,committed,findable,attribution,true_r,true_c,shadow_peak_r,shadow_peak_c
0,search,6,4,11,3,"following the evidence: peak (6, 4) at 0.105, traceability 21.19",-33.4146,search,3.6832,0.595,6,4,0.105401,21.1856,0,belief,A_uniform,7279928,1,1,21.1856,7,4,6,4
1,search,6,4,10,3,"following the evidence: peak (6, 4) at 0.109, traceability 16.61",-33.517,search,7.8069,0.5991,6,4,0.109202,16.6079,0,belief,A_uniform,7279928,1,1,18.1372,8,4,6,4
2,call_reinforcements,6,4,10,2,"following the evidence: peak (6, 4) at 0.303, traceability 125.19",-12.1446,hold_position,13.1446,0.4207,6,4,0.303006,125.191,0,belief,A_uniform,7279928,1,1,36.1974,8,3,6,4
3,hold_position,,,10,2,"too little to go on to commit: uncertainty 0.41, peak traceability 151.66",1.0,retreat,0.35,0.4132,6,4,0.249366,151.6585,0,belief,A_uniform,7279928,0,1,,8,2,6,4
4,hold_position,,,10,2,"too little to go on to commit: uncertainty 0.43, peak traceability 146.79",1.0,retreat,0.35,0.4301,6,4,0.205443,146.7921,0,belief,A_uniform,7279928,0,1,,9,2,6,4
0,search,5,4,2,3,"following the evidence: peak (7, 6) at 0.064, traceability 12.91",-17.0734,search,0.4701,0.8546,7,6,0.064244,12.913,1,belief,A_uniform,972299651,1,0,2.8743,6,6,7,6
1,call_reinforcements,7,6,3,3,"following the evidence: peak (7, 6) at 0.276, traceability 86.78",-9.9143,hold_position,10.9143,0.4737,7,6,0.275658,86.7804,1,belief,A_uniform,972299651,1,1,34.8511,6,5,7,6
2,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.70, peak traceability 69.74",1.025,retreat,0.35,0.6952,7,6,0.132456,69.7392,1,belief,A_uniform,972299651,0,1,,6,4,7,5
3,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.43, peak traceability 246.47",1.0,retreat,0.35,0.4284,7,6,0.277209,246.4739,1,belief,A_uniform,972299651,0,1,,5,4,7,5
4,hold_position,,,3,3,"too little to go on to commit: uncertainty 0.42, peak traceability 333.32",1.0,retreat,0.35,0.4243,7,6,0.222164,333.3205,1,belief,A_uniform,972299651,0,1,,4,4,7,5
