case,agent,policy,seed,start_distance,ticks,captured,capture_tick,gave_up,redundant_searches,target_switches,called_reinforcements,mean_attribution,low_attribution_actions,committed_actions,decision_cost
0,belief,A_uniform,7279928,8.0,4,1,3,0,0,2,0,42.8397,0,4,-127.897
1,belief,A_uniform,972299651,8.0,4,1,3,0,0,2,0,39.9498,0,4,-118.678
2,belief,A_uniform,1053741944,4.0,4,1,3,0,0,1,0,45.3934,0,3,-148.184
3,belief,A_uniform,835894097,10.0,51,0,,1,0,14,0,15.8297,14,36,-1090.504
4,belief,A_uniform,11117006,9.0,4,1,3,0,0,2,0,30.4839,0,4,-120.011
5,belief,A_uniform,345867229,20.0,40,0,,1,0,10,0,5.2896,15,32,-530.067
6,belief,A_uniform,508435861,16.0,22,0,,1,0,5,0,5.3319,5,19,-211.849
7,belief,A_uniform,968937461,20.0,12,1,11,0,0,2,0,10.2697,0,12,-226.81
8,belief,A_uniform,413510390,14.0,21,1,20,0,0,8,0,8.059,0,17,-327.233
9,belief,A_uniform,469091286,13.0,16,0,,1,0,3,0,6.4771,0,14,-245.409
10,belief,A_uniform,590469918,23.0,39,1,38,0,0,10,0,8.4934,4,33,-827.72
11,belief,A_uniform,724177023,23.0,27,1,26,0,4,4,0,7.6436,1,17,-632.911
12,belief,A_uniform,962642113,29.0,30,0,,1,0,5,0,5.8878,2,26,-391.541
13,belief,A_uniform,222833612,31.0,25,1,24,0,0,1,0,13.1343,0,20,-338.089
14,belief,A_uniform,34391319,23.0,12,1,11,0,0,4,0,9.3618,0,12,-159.875
15,belief,A_uniform,264678252,34.0,19,1,18,0,0,1,0,3.9215,0,18,-120.794
16,belief,A_uniform,471597988,36.0,63,1,62,0,0,10,0,8.5572,12,42,-1028.132
17,belief,A_uniform,882358837,37.0,50,1,49,0,4,9,0,7.1556,8,34,-979.293
18,belief,A_uniform,379482597,4.0,5,1,4,0,0,0,0,,0,0,-157.906
19,belief,A_uniform,60404721,4.0,29,1,28,0,0,11,0,11.7483,12,24,-841.869
20,belief,A_uniform,808688294,10.0,29,1,28,0,0,7,0,17.6517,0,16,-919.448
21,belief,A_uniform,886550942,10.0,80,0,,0,0,36,1,8.7491,31,62,-2096.208
22,belief,A_uniform,96027455,11.0,7,1,6,0,0,1,0,15.3952,0,5,-174.445
23,belief,A_uniform,31018174,13.0,7,1,6,0,0,0,0,7.2772,0,7,-136.595
24,belief,A_uniform,776584907,14.0,37,0,,1,0,15,0,7.297,14,25,-987.864
25,belief,A_uniform,629031448,21.0,13,1,12,0,0,2,0,6.4823,0,9,-193.803
26,belief,A_uniform,489548972,16.0,10,1,9,0,0,0,0,8.1288,0,9,-159.385
27,belief,A_uniform,223667842,13.0,9,1,8,0,0,3,1,32.0693,0,8,-228.722
28,belief,A_uniform,593193608,23.0,15,1,14,0,0,3,0,15.804,0,13,-199.597
29,belief,A_uniform,196097757,24.0,34,0,,1,0,8,0,5.1843,7,32,-334.646
30,belief,A_uniform,534614508,27.0,24,1,23,0,0,0,0,9.2803,0,24,-431.395
31,belief,A_uniform,154516399,31.0,21,1,20,0,0,2,0,10.3367,0,15,-326.302
32,belief,A_uniform,863174094,22.0,33,0,,1,0,4,0,7.6233,0,20,-334.021
33,belief,A_uniform,730839672,36.0,37,0,,1,0,5,0,6.7842,0,33,-346.775
34,belief,A_uniform,248056685,38.0,27,1,26,0,0,5,0,14.4108,0,25,-374.601
35,belief,A_uniform,893572920,38.0,25,1,24,0,0,3,0,6.9915,0,20,-242.867
