failure,case,tick,agent,policy,action,target_r,target_c,true_r,true_c,attribution,peak_belief,entropy,reason
F1 watching-not-catching,2,3,belief,A_uniform,hold_position,,,9,19,,0.256063,0.4345,hold_position; at -38.83; drawn by gain -39.83; held back by miss +1.00; next best search -30.76; H 0.43; peak traceability 350.7
F1 watching-not-catching,3,5,belief,A_uniform,hold_position,,,5,13,,0.025522,0.9629,hold_position; at -0.57; drawn by gain -1.69; held back by miss +1.12; next best retreat +1.48; H 0.96; peak traceability 6.9
F1 watching-not-catching,3,8,belief,A_uniform,hold_position,,,6,15,,0.445221,0.2665,hold_position; at -38.79; drawn by gain -39.79; held back by miss +1.00; next best search -34.66; H 0.27; peak traceability 894.1
F1 watching-not-catching,3,10,belief,A_uniform,hold_position,,,7,16,,0.562216,0.2381,hold_position; at -36.12; drawn by gain -37.12; held back by miss +1.00; next best search -34.77; H 0.24; peak traceability 561.3
F1 watching-not-catching,3,13,belief,A_uniform,hold_position,,,10,16,,0.288558,0.385,hold_position; at -38.27; drawn by gain -39.32; held back by miss +1.05; next best search -30.44; H 0.39; peak traceability 3684.2
F1 watching-not-catching,3,20,belief,A_uniform,hold_position,,,9,14,,0.352635,0.3326,hold_position; at -33.24; drawn by gain -34.24; held back by miss +1.00; next best search -29.87; H 0.33; peak traceability 434.6
F1 watching-not-catching,3,23,belief,A_uniform,hold_position,,,8,12,,0.322238,0.3544,hold_position; at -37.28; drawn by gain -38.30; held back by miss +1.02; next best search -37.10; H 0.35; peak traceability 1494.9
F1 watching-not-catching,3,24,belief,A_uniform,hold_position,,,8,11,,0.429153,0.308,hold_position; at -37.96; drawn by gain -38.96; held back by miss +1.00; next best search -28.90; H 0.31; peak traceability 40618.7
F1 watching-not-catching,3,25,belief,A_uniform,hold_position,,,8,10,,0.485092,0.2758,hold_position; at -38.40; drawn by gain -39.40; held back by miss +1.00; next best search -29.12; H 0.28; peak traceability 103540.0
F1 watching-not-catching,3,26,belief,A_uniform,hold_position,,,7,10,,0.491709,0.2791,hold_position; at -37.37; drawn by gain -38.37; held back by miss +1.00; next best search -29.15; H 0.28; peak traceability 6069.2
F1 watching-not-catching,5,14,belief,A_uniform,hold_position,,,9,8,,0.154206,0.6624,hold_position; at -25.78; drawn by gain -26.78; held back by miss +1.00; next best search -13.17; H 0.66; peak traceability 122.8
F1 watching-not-catching,5,15,belief,A_uniform,hold_position,,,10,8,,0.363264,0.4155,hold_position; at -33.93; drawn by gain -34.93; held back by miss +1.00; next best search -25.84; H 0.42; peak traceability 1783.4
F1 watching-not-catching,5,16,belief,A_uniform,hold_position,,,10,9,,0.317172,0.3346,hold_position; at -32.11; drawn by gain -33.11; held back by miss +1.00; next best search -28.20; H 0.33; peak traceability 348.9
F1 watching-not-catching,8,19,belief,A_uniform,hold_position,,,9,19,,0.554965,0.2611,hold_position; at -38.11; drawn by gain -39.11; held back by miss +1.00; next best call_reinforcements -32.40; H 0.26; peak traceability 5372.0
F1 watching-not-catching,8,20,belief,A_uniform,hold_position,,,9,18,,0.491533,0.2588,hold_position; at -38.65; drawn by gain -39.65; held back by miss +1.00; next best search -32.72; H 0.26; peak traceability 193982.2
F1 watching-not-catching,10,32,belief,A_uniform,hold_position,,,1,19,,0.225937,0.6593,hold_position; at -18.45; drawn by gain -19.45; held back by miss +1.00; next best search -12.37; H 0.66; peak traceability 100.0
F1 watching-not-catching,10,34,belief,A_uniform,hold_position,,,2,20,,0.394921,0.3626,hold_position; at -38.08; drawn by gain -39.08; held back by miss +1.00; next best search -24.78; H 0.36; peak traceability 1563.4
F1 watching-not-catching,10,35,belief,A_uniform,hold_position,,,3,20,,0.499192,0.3148,hold_position; at -38.72; drawn by gain -39.72; held back by miss +1.00; next best search -30.10; H 0.31; peak traceability 21948.5
F1 watching-not-catching,10,36,belief,A_uniform,hold_position,,,4,20,,0.473485,0.2904,hold_position; at -38.89; drawn by gain -39.89; held back by miss +1.00; next best search -31.12; H 0.29; peak traceability 389676.7
F1 watching-not-catching,10,37,belief,A_uniform,hold_position,,,4,19,,0.308661,0.4157,hold_position; at -38.34; drawn by gain -39.37; held back by miss +1.02; next best search -31.01; H 0.42; peak traceability 986692.0
F1 watching-not-catching,10,38,belief,A_uniform,hold_position,,,4,18,,0.304204,0.4041,hold_position; at -38.45; drawn by gain -39.45; held back by miss +1.00; next best search -30.64; H 0.40; peak traceability 30296406.1
F1 watching-not-catching,11,11,belief,A_uniform,hold_position,,,8,10,,0.375802,0.4882,hold_position; at -31.00; drawn by gain -32.00; held back by miss +1.00; next best search -27.45; H 0.49; peak traceability 10207.9
F1 watching-not-catching,11,12,belief,A_uniform,hold_position,,,7,10,,0.494806,0.352,hold_position; at -35.59; drawn by gain -36.59; held back by miss +1.00; next best search -28.99; H 0.35; peak traceability 292133.7
F1 watching-not-catching,11,13,belief,A_uniform,hold_position,,,6,10,,0.458099,0.3003,hold_position; at -37.43; drawn by gain -38.43; held back by miss +1.00; next best search -30.13; H 0.30; peak traceability 9376212.8
F1 watching-not-catching,11,14,belief,A_uniform,hold_position,,,5,10,,0.509379,0.2664,hold_position; at -38.30; drawn by gain -39.30; held back by miss +1.00; next best search -30.79; H 0.27; peak traceability 244594111.5
F1 watching-not-catching,11,15,belief,A_uniform,hold_position,,,4,10,,0.514695,0.2461,hold_position; at -38.71; drawn by gain -39.71; held back by miss +1.00; next best search -30.93; H 0.25; peak traceability 22737023.6
F1 watching-not-catching,11,16,belief,A_uniform,hold_position,,,4,9,,0.370561,0.2973,hold_position; at -38.91; drawn by gain -39.91; held back by miss +1.00; next best search -30.87; H 0.30; peak traceability 229576.9
F1 watching-not-catching,11,17,belief,A_uniform,hold_position,,,4,8,,0.442113,0.3042,hold_position; at -38.95; drawn by gain -39.95; held back by miss +1.00; next best search -31.84; H 0.30; peak traceability 4129322.2
F1 watching-not-catching,11,24,belief,A_uniform,hold_position,,,4,3,,0.16833,0.7449,hold_position; at -13.45; drawn by gain -14.45; held back by miss +1.00; next best search -5.85; H 0.74; peak traceability 966.9
F1 watching-not-catching,12,29,belief,A_uniform,resume_post,12,20,12,15,0.4222,0.016141,0.8721,"resume_post; -> (12, 20); at +0.00; next best hold_position +0.83; H 0.87; peak traceability 1.0"
F1 watching-not-catching,13,21,belief,A_uniform,hold_position,,,12,17,,0.27076,0.4699,hold_position; at -27.45; drawn by gain -28.45; held back by miss +1.00; next best search -27.07; H 0.47; peak traceability 232.3
F1 watching-not-catching,13,22,belief,A_uniform,hold_position,,,12,18,,0.450064,0.2979,hold_position; at -36.13; drawn by gain -37.13; held back by miss +1.00; next best search -29.69; H 0.30; peak traceability 3013.3
F1 watching-not-catching,13,23,belief,A_uniform,hold_position,,,12,19,,0.528806,0.2295,hold_position; at -38.40; drawn by gain -39.40; held back by miss +1.00; next best search -31.85; H 0.23; peak traceability 34542.1
F1 watching-not-catching,13,24,belief,A_uniform,hold_position,,,12,20,,0.552536,0.2137,hold_position; at -38.87; drawn by gain -39.87; held back by miss +1.00; next best search -32.56; H 0.21; peak traceability 444504.1
F1 watching-not-catching,16,18,belief,A_uniform,hold_position,,,10,14,,0.412235,0.3732,hold_position; at -27.70; drawn by gain -28.70; held back by miss +1.00; next best search -27.06; H 0.37; peak traceability 357.5
F1 watching-not-catching,16,19,belief,A_uniform,hold_position,,,9,14,,0.422355,0.3644,hold_position; at -32.49; drawn by gain -33.49; held back by miss +1.00; next best search -28.77; H 0.36; peak traceability 316896.1
F1 watching-not-catching,16,21,belief,A_uniform,hold_position,,,8,13,,0.140315,0.6148,hold_position; at -22.43; drawn by gain -23.43; held back by miss +1.00; next best search -16.14; H 0.61; peak traceability 67752037.0
F1 watching-not-catching,16,22,belief,A_uniform,hold_position,,,8,12,,0.283208,0.531,hold_position; at -29.05; drawn by gain -30.05; held back by miss +1.00; next best search -20.41; H 0.53; peak traceability 3024046630.1
F1 watching-not-catching,16,23,belief,A_uniform,hold_position,,,8,11,,0.369357,0.4323,hold_position; at -33.70; drawn by gain -34.70; held back by miss +1.00; next best search -25.43; H 0.43; peak traceability 69235729816.4
F1 watching-not-catching,16,24,belief,A_uniform,hold_position,,,8,10,,0.424429,0.3578,hold_position; at -36.22; drawn by gain -37.22; held back by miss +1.00; next best search -27.98; H 0.36; peak traceability 3129048939.0
F1 watching-not-catching,16,25,belief,A_uniform,hold_position,,,7,10,,0.471454,0.2969,hold_position; at -37.54; drawn by gain -38.54; held back by miss +1.00; next best search -29.07; H 0.30; peak traceability 23768246.6
F1 watching-not-catching,16,54,belief,A_uniform,hold_position,,,10,8,,0.366063,0.4758,hold_position; at -29.51; drawn by gain -30.51; held back by miss +1.00; next best search -19.08; H 0.48; peak traceability 135254.8
F1 watching-not-catching,16,55,belief,A_uniform,hold_position,,,10,9,,0.335766,0.3795,hold_position; at -36.26; drawn by gain -37.26; held back by miss +1.00; next best search -26.90; H 0.38; peak traceability 3430008.4
F1 watching-not-catching,16,56,belief,A_uniform,hold_position,,,10,10,,0.511643,0.3012,hold_position; at -38.22; drawn by gain -39.22; held back by miss +1.00; next best search -29.14; H 0.30; peak traceability 38927737.7
