gen_seed,arm,capture,ticks,attribution,redundant,switches,low_attribution,precision,recall
20260910,belief,0.725,25.225,13.6626,9,230,133,0.6434,0.7824
20260910,belief_B,0.7,25.05,13.623,7,236,143,0.6662,0.7791
20260910,last_known_position,0.775,19.9,22.0009,126,148,10,0.5756,0.9978
20260910,scripted_sweep,0.85,22.275,21.8217,163,155,28,0.5254,0.9979
20260910,degraded_omniscience,0.65,22.775,11.1115,226,80,85,0.4716,0.9976
11,belief,0.65,24.75,14.1887,3,205,105,0.5894,0.8226
11,belief_B,0.65,24.725,13.7295,4,203,114,0.588,0.8225
11,last_known_position,0.725,18.95,19.9372,139,103,3,0.4967,1.0
11,scripted_sweep,0.725,20.95,19.493,183,103,55,0.4486,1.0
11,degraded_omniscience,0.6,25.625,12.1149,261,120,108,0.4881,1.0
2027,belief,0.75,25.75,12.7561,7,218,110,0.6178,0.7319
2027,belief_B,0.8,26.4,11.8001,6,213,142,0.5907,0.7321
2027,last_known_position,0.8,18.55,22.9523,104,123,1,0.579,0.9977
2027,scripted_sweep,0.8,20.725,22.5897,127,123,26,0.5177,0.9977
2027,degraded_omniscience,0.675,24.55,12.1911,225,114,83,0.5315,0.9981
44497,belief,0.725,31.15,13.5759,10,285,131,0.6292,0.724
44497,belief_B,0.7,32.475,11.9564,11,301,169,0.5963,0.7193
44497,last_known_position,0.8,19.8,21.4537,98,169,2,0.6161,1.0
44497,scripted_sweep,0.85,22.025,21.3428,127,174,17,0.5623,1.0
44497,degraded_omniscience,0.6,26.35,10.9087,255,128,146,0.4894,0.9961
86243,belief,0.675,28.375,12.7729,6,247,167,0.5394,0.7533
86243,belief_B,0.7,29.875,12.2993,4,262,183,0.5532,0.7575
86243,last_known_position,0.8,20.45,24.124,120,179,14,0.5667,1.0
86243,scripted_sweep,0.9,21.825,24.1111,140,174,55,0.5155,0.9978
86243,degraded_omniscience,0.55,26.375,11.6326,321,95,107,0.4253,1.0
110503,belief,0.9,30.95,15.6923,18,252,166,0.6073,0.7147
110503,belief_B,0.775,29.625,15.0633,21,262,208,0.5949,0.7177
110503,last_known_position,0.9,16.075,24.022,62,143,2,0.6667,1.0
110503,scripted_sweep,0.9,16.775,23.6469,59,142,7,0.6462,1.0
110503,degraded_omniscience,0.725,21.525,12.38,196,98,90,0.5364,1.0
132049,belief,0.625,28.825,13.0325,17,234,98,0.5261,0.7877
132049,belief_B,0.625,27.05,12.1512,4,227,131,0.5135,0.7842
132049,last_known_position,0.725,23.175,19.5498,161,144,4,0.4727,0.9954
132049,scripted_sweep,0.75,24.85,18.7375,181,134,63,0.4197,0.9952
132049,degraded_omniscience,0.575,27.475,10.0096,273,90,126,0.4201,0.9956
216091,belief,0.725,28.8,15.5796,17,255,149,0.6459,0.7282
216091,belief_B,0.75,31.5,14.6949,21,270,186,0.6445,0.7227
216091,last_known_position,0.8,19.35,23.1455,106,147,11,0.5561,1.0
216091,scripted_sweep,0.925,21.275,23.2009,115,159,59,0.5401,1.0
216091,degraded_omniscience,0.65,22.825,11.1517,234,85,98,0.4227,1.0
